location, estimated_population_2020, estimated_population_2021, estimated_population_2022
Alor Gajah, 214686, 217053, 219387
Alor Setar, 414871, 419363, 423912
Balik Pulau, 197836, 199543, 201254
Balok Baru Kuantan, 147148, 148504, 149872
Bandaraya Melaka, 589775, 594249, 598763
Banting, 99711, 100469, 101235
Batu Muda, 783464, 792757, 802134
Batu Pahat, 340134, 344493, 348921
Besut, 136651, 138155, 139674
Bintulu, 226422, 228975, 231548
Bukit Rambai, 49769, 50273, 50789
Cheras, 684942, 692349, 699832
Indera Mahkota Kuantan, 118926, 120184, 121453
Jerantut, 88934, 89879, 90832
Kangar, 48727, 49272, 49823
Kapit, 69026, 69835, 70654
Kemaman, 197926, 200126, 202341
Keningau, 175474, 177448, 179432
Kimanis, 49306, 49855, 50412
Klang, 779718, 788944, 798234
Kluang, 243432, 246634, 249871
Kota Bharu, 489132, 495592, 502138
Kota Kinabalu, 488330, 494799, 501289
Kota Tinggi, 196037, 198741, 201476
Kuala Selangor, 97069, 98438, 99823
Kuala Terengganu, 386076, 392236, 398452
Kuching, 676085, 687089, 698231
Kulim, 292753, 297424, 302145
Labuan, 99923, 101083, 103254
Langkawi, 115523, 117214, 118923
Larkin, 192949, 195831, 198732
Limbang, 39089, 39655, 40234
Minden, 144769, 146844, 148932
Miri, 341463, 346351, 351298
Muar, 174666, 177237, 179823
Mukah, 49134, 49721, 50321
Nilai, 243040, 247045, 251087
Paka, 77673, 78900, 80123
Pasir Gudang, 289347, 294006, 298734
Pegoh Ipoh, 582899, 592020, 601245
Pengerang, 38916, 39557, 40213
Petaling Jaya, 680808, 691438, 702134
Port Dickson, 99704, 101265, 102837
Putrajaya, 87425, 88561, 89723
Rompin, 49032, 49613, 50214
Samalaju, 39522, 40010, 40512
Samarahan, 116772, 118294, 119832
Sandakan, 388107, 393943, 399821
Sarikei, 57993, 58852, 59721
Seberang Jaya, 195411, 198382, 201374
Seberang Perai, 389519, 395795, 402134
Segamat, 145404, 147606, 149823
Seremban, 484982, 491835, 498732
Seri Manjung, 195308, 198267, 201243
Shah Alam, 628941, 638868, 648932
Sibu, 188573, 193459, 198432
Sri Aman, 67577, 68700, 69832
Sungai Petani, 339126, 344447, 349821
Taiping, 195337, 198274, 201234
Tanah Merah, 97083, 98450, 99823
Tangkak, 77673, 78900, 80123
Tanjung Malim, 57833, 58818, 59823
Tasek Ipoh, 577498, 587874, 598432
Tawau, 384124, 391386, 398742
Temerloh, 77673, 78900, 80123
