latitude,longitude,location,state
2.3804,102.2089,Alor Gajah,Melaka
6.1214,100.3674,Alor Setar,Kedah
5.3111,100.2228,Balik Pulau,Penang
3.8333,103.3333,Balok Baru Kuantan,Pahang
2.205685,102.256155,Bandaraya Melaka,Melaka
2.8186,101.5320,Banting,Selangor
3.2200,101.6900,Batu Muda,Kuala Lumpur
1.8540,102.9310,Batu Pahat,Johor
5.8018,102.5606,Besut,Terengganu
3.1711,113.0285,Bintulu,Sarawak
2.2167,102.2500,Bukit Rambai,Melaka
3.1072,101.7165,Cheras,Kuala Lumpur
3.8340,103.3440,Indera Mahkota Kuantan,Pahang
3.9728,102.3652,Jerantut,Pahang
6.4406,100.1999,Kangar,Perlis
2.0000,112.9500,Kapit,Sarawak
4.2486,103.3783,Kemaman,Terengganu
5.3386,116.1769,Keningau,Sabah
5.2000,115.9833,Kimanis,Sabah
3.0333,101.4500,Klang,Selangor
2.0333,103.3167,Kluang,Johor
6.1240,102.2400,Kota Bharu,Kelantan
5.975,116.0725,Kota Kinabalu,Sabah
1.7375,103.8536,Kota Tinggi,Johor
3.2933,101.2433,Kuala Selangor,Selangor
5.3300,103.1400,Kuala Terengganu,Terengganu
1.55311,110.345032,Kuching,Sarawak
5.3670,100.5330,Kulim,Kedah
5.2800,115.2500,Labuan,W.P. Labuan
6.3500,99.8500,Langkawi,Kedah
1.511796,103.745179,Larkin,Johor
4.75917,115.00667,Limbang,Sarawak
5.3580,100.2860,Minden,Penang
4.399493,113.991386,Miri,Sarawak
2.0475,102.5647,Muar,Johor
2.9167,112.0333,Mukah,Sarawak
2.8333,101.8000,Nilai,Negeri Sembilan
4.4000,103.4333,Paka,Terengganu
1.4817,103.9106,Pasir Gudang,Johor
4.6060,101.0830,Pegoh Ipoh,Perak
1.3647023,104.1111109,Pengerang,Johor
3.1073,101.6067,Petaling Jaya,Selangor
2.5183,101.8036,Port Dickson,Negeri Sembilan
2.9200,101.6500,Putrajaya,W.P. Putrajaya
2.8167,103.4000,Rompin,Pahang
3.1780,113.0840,Samalaju,Sarawak
1.4684,110.2860,Samarahan,Sarawak
5.8408,118.0598,Sandakan,Sabah
2.11667,111.51667,Sarikei,Sarawak
5.398982,100.407131,Seberang Jaya,Penang
5.4019,100.4444,Seberang Perai,Penang
2.5236,102.8388,Segamat,Johor
2.7256,101.9386,Seremban,Negeri Sembilan
4.2044,100.6750,Seri Manjung,Perak
3.0738,101.5183,Shah Alam,Selangor
2.2872,111.8305,Sibu,Sarawak
1.4875,111.4392,Sri Aman,Sarawak
5.6499,100.4835,Sungai Petani,Kedah
4.8535,100.7378,Taiping,Perak
5.808886999999999,102.1470772,Tanah Merah,Kelantan
2.3833,102.5650,Tangkak,Johor
3.6962015,101.5199459,Tanjung Malim,Perak
4.5950,101.0700,Tasek Ipoh,Perak
4.2449,117.8916,Tawau,Sabah
3.4376,102.3956,Temerloh,Pahang
