Year,Selected Stations,Maximum,Minimum,Latitude,Longitude
1998,"Bandaraya Melaka, Melaka",92,4,2.205685,102.256155
1998,"Cheras, Kuala Lumpur",140,10,3.1072,101.7165
1998,"Kota Kinabalu, Sabah ",459,1,5.975,116.0725
1998,"Kuching, Sarawak ",90,3,1.55311,110.345032
1998,"Larkin, Johor Bahru",116,7,1.511796,103.745179
1998,"Miri, Sarawak",649,6,4.399493,113.991386
1998,"Seberang Jaya, Pulau Pinang",111,16,5.398982,100.407131
1999,"Bandaraya Melaka, Melaka",77,3,2.205685,102.256155
1999,"Cheras, Kuala Lumpur",137,3,3.1072,101.7165
1999,"Kota Kinabalu, Sabah ",70,1,5.975,116.0725
1999,"Kuching, Sarawak ",76,4,1.55311,110.345032
1999,"Larkin, Johor Bahru",114,6,1.511796,103.745179
1999,"Miri, Sarawak",120,4,4.399493,113.991386
1999,"Seberang Jaya, Pulau Pinang",79,10,5.398982,100.407131
2000,"Bandaraya Melaka, Melaka",122,4,2.205685,102.256155
2000,"Cheras, Kuala Lumpur",141,13,3.1072,101.7165
2000,"Kota Kinabalu, Sabah ",70,1,5.975,116.0725
2000,"Kuching, Sarawak ",84,1,1.55311,110.345032
2000,"Larkin, Johor Bahru",119,7,1.511796,103.745179
2000,"Miri, Sarawak",79,3,4.399493,113.991386
2000,"Seberang Jaya, Pulau Pinang",127,4,5.398982,100.407131
2001,"Bandaraya Melaka, Melaka",127,3,2.205685,102.256155
2001,"Cheras, Kuala Lumpur",157,16,3.1072,101.7165
2001,"Kota Kinabalu, Sabah ",80,1,5.975,116.0725
2001,"Kuching, Sarawak ",84,1,1.55311,110.345032
2001,"Larkin, Johor Bahru",119,10,1.511796,103.745179
2001,"Miri, Sarawak",84,2,4.399493,113.991386
2001,"Seberang Jaya, Pulau Pinang",140,8,5.398982,100.407131
2002,"Bandaraya Melaka, Melaka",105,5,2.205685,102.256155
2002,"Cheras, Kuala Lumpur",153,11,3.1072,101.7165
2002,"Kota Kinabalu, Sabah ",88,8,5.975,116.0725
2002,"Kuching, Sarawak ",130,1,1.55311,110.345032
2002,"Larkin, Johor Bahru",116,4,1.511796,103.745179
2002,"Miri, Sarawak",126,5,4.399493,113.991386
2002,"Seberang Jaya, Pulau Pinang",115,4,5.398982,100.407131
2003,"Bandaraya Melaka, Melaka",114,6,2.205685,102.256155
2003,"Cheras, Kuala Lumpur",143,11,3.1072,101.7165
2003,"Kota Kinabalu, Sabah ",76,2,5.975,116.0725
2003,"Kuching, Sarawak ",85,6,1.55311,110.345032
2003,"Larkin, Johor Bahru",112,2,1.511796,103.745179
2003,"Miri, Sarawak",86,3,4.399493,113.991386
2003,"Seberang Jaya, Pulau Pinang",106,11,5.398982,100.407131
2004,"Bandaraya Melaka, Melaka",147,5,2.205685,102.256155
2004,"Cheras, Kuala Lumpur",97,32,3.1072,101.7165
2004,"Kota Kinabalu, Sabah ",62,1,5.975,116.0725
2004,"Kuching, Sarawak ",97,17,1.55311,110.345032
2004,"Larkin, Johor Bahru",126,8,1.511796,103.745179
2004,"Miri, Sarawak",77,2,4.399493,113.991386
2004,"Seberang Jaya, Pulau Pinang",121,8,5.398982,100.407131
2005,"Bandaraya Melaka, Melaka",114,2,2.205685,102.256155
2005,"Cheras, Kuala Lumpur",390,5,3.1072,101.7165
2005,"Kota Kinabalu, Sabah ",63,2,5.975,116.0725
2005,"Kuching, Sarawak ",78,23,1.55311,110.345032
2005,"Larkin, Johor Bahru",111,1,1.511796,103.745179
2005,"Miri, Sarawak",133,2,4.399493,113.991386
2005,"Seberang Jaya, Pulau Pinang",151,10,5.398982,100.407131
2006,"Bandaraya Melaka, Melaka",153,5,2.205685,102.256155
2006,"Cheras, Kuala Lumpur",162,5,3.1072,101.7165
