Time,Alor Gajah,Alor Setar,Balik Pulau,Balok Baru Kuantan,Bandaraya Melaka,Banting,Batu Muda,Batu Pahat,Besut,Bintulu,Bukit Rambai,Cheras,Indera Mahkota Kuantan,Jerantut,Kangar,Kapit,Kemaman,Keningau,Kimanis,Klang,Kluang,Kota Bharu,Kota Kinabalu,Kota Tinggi,Kuala Selangor,Kuala Terengganu,Kuching,Kulim,Labuan,Langkawi,Larkin,Limbang,Minden,Miri,Muar,Mukah,Nilai,Paka,Pasir Gudang,Pegoh Ipoh,Pengerang,Petaling Jaya,Port Dickson,Putrajaya,Rompin,Samalaju,Samarahan,Sandakan,Sarikei,Seberang Jaya,Seberang Perai,Segamat,Seremban,Seri Manjung,Shah Alam,Sibu,Sri Aman,Sungai Petani,Taiping,Tanah Merah,Tangkak,Tanjung Malim,Tasek Ipoh,Tawau,Temerloh
2020-01-01 23:00:00,21.0,27.0,53.0,30.0,35.0,52.0,45.0,25.0,34.0,43.0,33.0,35.0,27.0,30.0,27.0,41.0,29.0,51.0,33.0,67.0,23.0,56.0,66.0,21.0,35.0,31.0,43.0,32.0,54.0,30.0,42.0,25.0,48.0,53.0,,19.0,40.0,37.0,33.0,49.0,30.0,32.0,24.0,33.0,38.0,45.0,26.0,29.0,24.0,55.0,43.0,27.0,39.0,51.0,53.0,36.0,24.0,52.0,55.0,53.0,27.0,24.0,41.0,42.0,41.0
2020-01-02 23:00:00,18.0,30.0,52.0,30.0,28.0,51.0,44.0,16.0,27.0,35.0,34.0,37.0,25.0,21.0,28.0,24.0,31.0,32.0,32.0,59.0,15.0,53.0,36.0,23.0,51.0,36.0,57.0,33.0,53.0,34.0,55.0,23.0,40.0,45.0,,18.0,34.0,38.0,31.0,53.0,24.0,59.0,33.0,36.0,35.0,24.0,25.0,31.0,25.0,55.0,51.0,21.0,26.0,53.0,50.0,32.0,20.0,46.0,54.0,45.0,27.0,24.0,48.0,28.0,32.0
2020-01-03 23:00:00,25.0,22.0,52.0,34.0,32.0,51.0,42.0,39.0,25.0,25.0,32.0,52.0,27.0,22.0,26.0,23.0,28.0,41.0,28.0,58.0,17.0,38.0,38.0,25.0,40.0,35.0,64.0,32.0,51.0,31.0,51.0,22.0,39.0,41.0,,19.0,41.0,42.0,26.0,52.0,25.0,54.0,49.0,44.0,44.0,36.0,20.0,31.0,55.0,54.0,51.0,26.0,38.0,49.0,54.0,28.0,28.0,30.0,55.0,34.0,38.0,20.0,38.0,27.0,35.0
2020-01-04 23:00:00,24.0,26.0,54.0,33.0,33.0,51.0,52.0,26.0,33.0,30.0,52.0,55.0,26.0,26.0,27.0,19.0,38.0,30.0,38.0,59.0,20.0,32.0,36.0,25.0,28.0,47.0,33.0,25.0,53.0,29.0,41.0,21.0,36.0,43.0,,18.0,35.0,46.0,36.0,53.0,26.0,55.0,42.0,38.0,36.0,35.0,22.0,35.0,40.0,53.0,29.0,28.0,38.0,53.0,58.0,33.0,28.0,31.0,50.0,52.0,39.0,20.0,52.0,26.0,40.0
2020-01-05 23:00:00,29.0,35.0,56.0,38.0,36.0,56.0,47.0,26.0,36.0,48.0,53.0,42.0,33.0,27.0,33.0,18.0,42.0,30.0,32.0,59.0,20.0,51.0,51.0,23.0,35.0,42.0,26.0,40.0,51.0,38.0,47.0,31.0,48.0,52.0,,24.0,46.0,42.0,29.0,52.0,43.0,52.0,47.0,49.0,42.0,48.0,23.0,38.0,30.0,52.0,52.0,32.0,53.0,51.0,58.0,35.0,31.0,37.0,56.0,53.0,41.0,18.0,50.0,31.0,45.0
2020-01-06 23:00:00,33.0,54.0,55.0,36.0,46.0,56.0,52.0,29.0,52.0,52.0,52.0,51.0,30.0,31.0,53.0,16.0,39.0,56.0,48.0,57.0,18.0,59.0,51.0,21.0,42.0,43.0,27.0,42.0,44.0,56.0,33.0,35.0,53.0,54.0,,22.0,51.0,42.0,26.0,52.0,23.0,55.0,53.0,52.0,44.0,40.0,19.0,29.0,27.0,55.0,52.0,32.0,39.0,52.0,53.0,28.0,16.0,55.0,57.0,59.0,36.0,23.0,52.0,33.0,43.0
2020-01-07 23:00:00,33.0,53.0,57.0,40.0,44.0,56.0,54.0,26.0,40.0,27.0,49.0,54.0,34.0,35.0,52.0,25.0,45.0,52.0,37.0,59.0,18.0,57.0,42.0,17.0,52.0,49.0,30.0,52.0,60.0,52.0,31.0,36.0,53.0,51.0,,33.0,55.0,34.0,19.0,53.0,24.0,55.0,52.0,51.0,31.0,32.0,16.0,39.0,25.0,55.0,57.0,27.0,46.0,59.0,55.0,27.0,29.0,56.0,58.0,57.0,34.0,36.0,51.0,31.0,51.0
2020-01-08 23:00:00,28.0,28.0,49.0,34.0,36.0,52.0,53.0,25.0,22.0,52.0,41.0,52.0,29.0,25.0,29.0,24.0,35.0,34.0,30.0,60.0,17.0,32.0,29.0,19.0,53.0,42.0,38.0,52.0,52.0,39.0,41.0,24.0,51.0,51.0,,30.0,44.0,35.0,22.0,57.0,30.0,55.0,51.0,50.0,28.0,39.0,33.0,32.0,36.0,53.0,57.0,32.0,33.0,61.0,58.0,46.0,34.0,40.0,56.0,43.0,37.0,31.0,57.0,21.0,45.0
2020-01-09 23:00:00,28.0,28.0,53.0,40.0,35.0,51.0,53.0,44.0,32.0,29.0,40.0,51.0,34.0,27.0,35.0,24.0,47.0,24.0,35.0,60.0,17.0,32.0,39.0,28.0,38.0,42.0,29.0,41.0,53.0,35.0,45.0,24.0,51.0,48.0,,22.0,47.0,51.0,30.0,55.0,50.0,51.0,50.0,42.0,43.0,48.0,31.0,32.0,34.0,52.0,54.0,31.0,46.0,56.0,52.0,36.0,35.0,38.0,39.0,51.0,32.0,22.0,53.0,25.0,36.0
2020-01-10 23:00:00,36.0,35.0,54.0,52.0,51.0,53.0,54.0,29.0,39.0,30.0,52.0,56.0,42.0,29.0,37.0,23.0,53.0,33.0,30.0,57.0,25.0,55.0,38.0,28.0,45.0,53.0,24.0,51.0,53.0,39.0,41.0,31.0,52.0,53.0,,19.0,54.0,46.0,35.0,54.0,35.0,53.0,54.0,40.0,51.0,33.0,18.0,31.0,55.0,56.0,54.0,34.0,52.0,50.0,54.0,35.0,32.0,52.0,54.0,58.0,42.0,21.0,53.0,25.0,47.0
