Year,State,State_Average_API
2017,Johor,27.02
2017,Kedah,27.57
2017,Kelantan,28.88
2017,Kuala Lumpur,31.45
2017,Malacca,29.68
2017,Negeri Sembilan,32.95
2017,Pahang,25.99
2017,Penang,33.25
2017,Perak,32.74
2017,Perlis,26.76
2017,Sabah,20.96
2017,Sarawak,20.7
2017,Selangor,60.12
2017,Terengganu,25.18
2017,Labuan,35.28
2017,Putrajaya,33.97
2018,Johor,34.17
2018,Kedah,32.46
2018,Kelantan,34.11
2018,Kuala Lumpur,42.28
2018,Malacca,37.84
2018,Negeri Sembilan,39.45
2018,Pahang,32.11
2018,Penang,38.04
2018,Perak,36.63
2018,Perlis,31.41
2018,Sabah,25.9
2018,Sarawak,29.29
2018,Selangor,43.51
2018,Terengganu,31.19
2018,Labuan,29.31
2018,Putrajaya,41.84
2019,Johor,54.79
2019,Kedah,50.6
2019,Kelantan,54.27
2019,Kuala Lumpur,64.08
2019,Malacca,59.37
2019,Negeri Sembilan,60.61
2019,Pahang,55.11
2019,Penang,56.29
2019,Perak,54.59
2019,Perlis,46.96
2019,Sabah,41.19
2019,Sarawak,47.53
2019,Selangor,64.89
2019,Terengganu,50.68
2019,Labuan,45.22
2019,Putrajaya,65.5
2020,Johor,42.51
2020,Kedah,44.07
2020,Kelantan,49.72
2020,Kuala Lumpur,54.11
2020,Malacca,48.04
2020,Negeri Sembilan,50.89
2020,Pahang,43.78
2020,Penang,51.6
2020,Perak,47.38
2020,Perlis,43.17
2020,Sabah,32.94
2020,Sarawak,33.13
2020,Selangor,56.76
2020,Terengganu,42.9
2020,Labuan,41.15
2020,Putrajaya,54.21
2021,Johor,46.75
2021,Kedah,43.34
2021,Kelantan,50.56
2021,Kuala Lumpur,55.11
2021,Malacca,52.49
2021,Negeri Sembilan,53.05
2021,Pahang,47.41
2021,Penang,50.77
2021,Perak,48.38
2021,Perlis,40.99
2021,Sabah,31.06
2021,Sarawak,35.15
2021,Selangor,62.4
2021,Terengganu,43.33
2021,Labuan,43.67
2021,Putrajaya,53.46
2022,Johor,41.4
2022,Kedah,47.15
2022,Kelantan,53.44
2022,Kuala Lumpur,55.47
2022,Malacca,47.3
2022,Negeri Sembilan,56.89
2022,Pahang,39.31
2022,Penang,53.26
2022,Perak,51.0
2022,Perlis,43.51
2022,Sabah,33.75
2022,Sarawak,36.58
2022,Selangor,60.95
2022,Terengganu,42.2
2022,Labuan,39.79
2022,Putrajaya,50.01
