year,pollutant,concentration
2017,CO,0.6459
2017,NO2,0.00788
2017,O3,0.0164
2017,PM 10,30.047
2017,PM 2.5,
2017,SO2,0.0017
2018,CO,0.651667
2018,NO2,0.00765
2018,O3,0.01775
2018,PM 10,24.9192
2018,PM 2.5,16.25
2018,SO2,0.001025
2019,CO,0.65008
2019,NO2,0.007192
2019,O3,0.01883
2019,PM 10,29.1592
2019,PM 2.5,20.488
2019,SO2,0.001058
2020,CO,0.544917
2020,NO2,0.005767
2020,O3,0.016167
2020,PM 10,19.7258
2020,PM 2.5,12.2925
2020,SO2,0.001025
2021,CO,0.53375
2021,NO2,0.0056917
2021,O3,0.016167
2021,PM 10,20.513
2021,PM 2.5,12.93917
2021,SO2,0.0011167
2022,CO,0.52758
2022,NO2,0.0063167
2022,O3,0.01508
2022,PM 10,19.7533
2022,PM 2.5,12.2608
2022,SO2,0.0011917
